地名,センター,可燃ごみ,粗大・不燃ごみ,資源ごみＡ,資源ごみＢ
塩田,夕陽が丘クリーンセンター,月 木,水1,土1,土2
志筑,夕陽が丘クリーンセンター,月 木,水2,土1,土2
中田・大町,夕陽が丘クリーンセンター,火 金,水3,土3,土4
生穂・佐野,夕陽が丘クリーンセンター,火 金,水4,土3,土4
南鵜崎・鵜崎・田代,夕陽が丘クリーンセンター,火 金,水1,日4,土1
神前・東町・中町・茶間,夕陽が丘クリーンセンター,火 金,水2,日4,土2
橋本・西町・片浜,夕陽が丘クリーンセンター,月 木,水3,日4,土3
西岡・長浜・松帆・開京・別所・谷山,夕陽が丘クリーンセンター,月 木,水4,日4,土4
浅野・富島,夕陽が丘クリーンセンター,月 木,水1,土1,土2
野島・長畠・仁井・小田,夕陽が丘クリーンセンター,月 木,水2,土1,土2
育波・斗ノ内,夕陽が丘クリーンセンター,火 金,水3,土3,土4
室津・生田,夕陽が丘クリーンセンター,火 金,水4,土3,土4
江井・山田,夕陽が丘クリーンセンター,月 木,水1,土1,土2
多賀,夕陽が丘クリーンセンター,月 木,水2,土1,土2
郡家・柳沢,夕陽が丘クリーンセンター,火 金,水3,土3,土4
尾崎,夕陽が丘クリーンセンター,火 金,水4,土3,土4
楠本・大磯・浦・白山・河内・中持,夕陽が丘クリーンセンター,月 木,水1,土1,土2
久留麻,夕陽が丘クリーンセンター,火 金,水2,土1,土2
仮屋・谷・下田,夕陽が丘クリーンセンター,火 金,水3,土1,土2
釜口,夕陽が丘クリーンセンター,火 金,水4,土1,土2
